subject	predicate	object	datatype
obo:MONDO_0002602	rdfs:label	central nervous system disorder	xsd:string
obo:MONDO_0021698	rdfs:label	alcohol-related disorders	xsd:string
bmir-radx:nih_seasonal_allergies	rdfs:label	nih_seasonal_allergies Data Element	xsd:string
bmir-radx:nih_throat_congestion_nose_99	rdfs:label	nih_throat_congestion_nose Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0003900	rdfs:label	connective tissue disorder	xsd:string
bmir-radx:nih_mental_health_disorder	rdfs:label	nih_mental_health_disorder Data Element	xsd:string
bmir-radx:nih_thyroid_value	rdfs:label	nih_thyroid value	xsd:string
bmir-radx:nih_immunocompromised_value	rdfs:label	nih_immunocompromised value	xsd:string
bmir-radx:nih_alz	rdfs:label	nih_alz Data Element	xsd:string
bmir-radx:nih_anemia	rdfs:label	nih_anemia Data Element	xsd:string
bmir-radx:nih_cld_bpd_99	rdfs:label	nih_cld_bpd Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_cancer_active_treatment_0	rdfs:label	nih_cancer_active_treatment Value, 0 (No)	xsd:string
bmir-radx:nih_high_temp_98	rdfs:label	nih_high_temp Value, 98 (Don’t know)	xsd:string
evs:C198997	rdfs:label	Person by Activity Type	xsd:string
obo:MONDO_0005109	rdfs:label	HIV infectious disease	xsd:string
obo:GO_0008150	rdfs:label	biological process	xsd:string
bmir-radx:nih_chronic_pain_97	rdfs:label	nih_chronic_pain Value, 97 (Other)	xsd:string
bmir-radx:nih_insomnia_value	rdfs:label	nih_insomnia value	xsd:string
bmir-radx:nih_chronic_lung_0	rdfs:label	nih_chronic_lung Value, 0 (No)	xsd:string
bmir-radx:nih_immunosuppressive_condition_98	rdfs:label	nih_immunosuppressive_condition Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_balance_1	rdfs:label	nih_balance Value, 1 (Yes)	xsd:string
obo:MONDO_0005406	rdfs:label	gestational diabetes	xsd:string
obo:MONDO_0005516	rdfs:label	osteochondrodysplasia	xsd:string
evs:C14139	rdfs:label	Immunocompromised	xsd:string
obo:NBO_0045002	rdfs:label	tobacco smoking behavior	xsd:string
obo:MONDO_0006704	rdfs:label	CNS demyelinating autoimmune disease	xsd:string
bmir-radx:nih_race_99	rdfs:label	nih_race Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_employment	rdfs:label	nih_employment Data Element	xsd:string
obo:MONDO_0004867	rdfs:label	upper respiratory tract disorder	xsd:string
bmir-radx:nih_balance_value	rdfs:label	nih_balance value	xsd:string
bmir-radx:nih_cholesterol	rdfs:label	nih_cholesterol Data Element	xsd:string
obo:MONDO_0001358	rdfs:label	bronchial disorder	xsd:string
bmir-radx:nih_red_eyes_98	rdfs:label	nih_red_eyes Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_ra_97	rdfs:label	nih_ra Value, 97 (Other)	xsd:string
obo:MONDO_0024458	rdfs:label	disorder of visual system	xsd:string
obo:MONDO_0002436	rdfs:label	nasal disorder	xsd:string
bmir-radx:nih_asthma_1	rdfs:label	nih_asthma Value, 1 (Yes)	xsd:string
bmir-radx:nih_numb_extremities_98	rdfs:label	nih_numb_extremities Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_thyroid_0	rdfs:label	nih_thyroid Value, 0 (No)	xsd:string
obo:MONDO_0000588	rdfs:label	autoimmune disorder of gastrointestinal tract	xsd:string
evs:C17934	rdfs:label	Tobacco Smoking	xsd:string
bmir-radx:nih_fibromyalgia	rdfs:label	nih_fibromyalgia Data Element	xsd:string
obo:MONDO_0021147	rdfs:label	disorder of development or morphogenesis	xsd:string
bmir-radx:nih_immunocompromised_0	rdfs:label	nih_immunocompromised Value, 0 (No)	xsd:string
bmir-radx:nih_slurred_peech_97	rdfs:label	nih_slurred_peech Value, 97 (Other)	xsd:string
bmir-radx:nih_gerd_98	rdfs:label	nih_gerd Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_asthma_value	rdfs:label	nih_asthma value	xsd:string
evs:C20189	rdfs:label	Property or Attribute	xsd:string
bmir-radx:nih_sleep_apnea_99	rdfs:label	nih_sleep_apnea Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0024623	rdfs:label	otorhinolaryngologic disease	xsd:string
obo:MONDO_0011786	rdfs:label	allergic rhinitis	xsd:string
bmir-radx:nih_throat_congestion_nose_98	rdfs:label	nih_throat_congestion_nose Value, 98 (Don’t know)	xsd:string
obo:MONDO_0000984	rdfs:label	thalassemia	xsd:string
obo:MONDO_0001941	rdfs:label	blindness (disorder)	xsd:string
evs:C20134	rdfs:label	Smoking Behavior	xsd:string
bmir-radx:nih_cld_bpd_98	rdfs:label	nih_cld_bpd Value, 98 (Don’t know)	xsd:string
evs:C173135	rdfs:label	Walking Question	xsd:string
obo:NBO_0015005	rdfs:label	smoking behavior	xsd:string
bmir-radx:nih_high_temp_97	rdfs:label	nih_high_temp Value, 97 (Other)	xsd:string
bmir-radx:nih_insomnia_1	rdfs:label	nih_insomnia Value, 1 (Yes)	xsd:string
bmir-radx:nih_neuro_shakes_99	rdfs:label	nih_neuro_shakes Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_wheezing_value	rdfs:label	nih_wheezing value	xsd:string
obo:MONDO_0005328	rdfs:label	eye disorder	xsd:string
obo:MONDO_0005559	rdfs:label	neurodegenerative disease	xsd:string
obo:MONDO_0002039	rdfs:label	cognitive disorder	xsd:string
bmir-radx:nih_immunosuppressive_condition_97	rdfs:label	nih_immunosuppressive_condition Value, 97 (Other)	xsd:string
bmir-radx:nih_balance_0	rdfs:label	nih_balance Value, 0 (No)	xsd:string
bmir-radx:nih_chronic_kidney_disease_99	rdfs:label	nih_chronic_kidney_disease Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_pregnancy	rdfs:label	nih_pregnancy Data Element	xsd:string
evs:C159659	rdfs:label	Transplant Recipient	xsd:string
obo:MONDO_0003799	rdfs:label	conjunctivitis	xsd:string
bmir-radx:nih_obesity	rdfs:label	nih_obesity Data Element	xsd:string
bmir-radx:nih_race_98	rdfs:label	nih_race Value, 98 (Do not know)	xsd:string
bmir-radx:nih_muscle_ache	rdfs:label	nih_muscle_ache Data Element	xsd:string
obo:MONDO_0002567	rdfs:label	tracheal disorder	xsd:string
bmir-radx:nih_red_eyes_97	rdfs:label	nih_red_eyes Value, 97 (Other)	xsd:string
bmir-radx:nih_asthma_0	rdfs:label	nih_asthma Value, 0 (No)	xsd:string
bmir-radx:nih_numb_extremities_97	rdfs:label	nih_numb_extremities Value, 97 (Other)	xsd:string
evs:C16745	rdfs:label	Insurance	xsd:string
obo:MONDO_0021146	rdfs:label	headache disorder	xsd:string
bmir-radx:nih_chronic_kidney_disease_treatment	rdfs:label	nih_chronic_kidney_disease_treatment Data Element	xsd:string
bmir-radx:nih_gerd_97	rdfs:label	nih_gerd Value, 97 (Other)	xsd:string
evs:C20188	rdfs:label	Social Circumstances	xsd:string
bmir-radx:nih_sleep_apnea_98	rdfs:label	nih_sleep_apnea Value, 98 (Don’t know)	xsd:string
obo:MONDO_0013600	rdfs:label	insomnia	xsd:string
bmir-radx:nih_throat_congestion_nose_97	rdfs:label	nih_throat_congestion_nose Value, 97 (Other)	xsd:string
bmir-radx:nih_migraines	rdfs:label	nih_migraines Data Element	xsd:string
evs:C173398	rdfs:label	Have Trouble or Difficulty Question	xsd:string
bmir-radx:nih_cld_bpd_97	rdfs:label	nih_cld_bpd Value, 97 (Other)	xsd:string
evs:C178942	rdfs:label	Immunosuppressive Disorder	xsd:string
evs:C43431	rdfs:label	Activity	xsd:string
bmir-radx:nih_olfactory	rdfs:label	nih_olfactory Data Element	xsd:string
bmir-radx:nih_nausea_vomiting_diarrhea_99	rdfs:label	nih_nausea_vomiting_diarrhea Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0005009	rdfs:label	congestive heart failure	xsd:string
bmir-radx:nih_insomnia_0	rdfs:label	nih_insomnia Value, 0 (No)	xsd:string
bmir-radx:nih_wheezing_1	rdfs:label	nih_wheezing Value, 1 (Yes)	xsd:string
bmir-radx:nih_neuro_shakes_98	rdfs:label	nih_neuro_shakes Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_insurance_2	rdfs:label	nih_insurance Value, 2 (Public)	xsd:string
bmir-radx:nih_errand_99	rdfs:label	nih_errand Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0005108	rdfs:label	viral infectious disease	xsd:string
bmir-radx:nih_diff_breath_value	rdfs:label	nih_diff_breath value	xsd:string
obo:NCIT_C17005	rdfs:label	population group	xsd:string
bmir-radx:nih_diff_breath_1	rdfs:label	nih_diff_breath Value, 1 (Yes)	xsd:string
bmir-radx:nih_hiv_99	rdfs:label	nih_hiv Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_blind_99	rdfs:label	nih_blind Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_ibs_value	rdfs:label	nih_ibs value	xsd:string
bmir-radx:nih_stroke_value	rdfs:label	nih_stroke value	xsd:string
evs:C16326	rdfs:label	Behavior	xsd:string
bmir-radx:nih_appetite	rdfs:label	nih_appetite Data Element	xsd:string
obo:MONDO_0004425	rdfs:label	hyperthyroidism	xsd:string
obo:NBO_0000131	rdfs:label	alcohol consumption	xsd:string
bmir-radx:nih_stroke_1	rdfs:label	nih_stroke Value, 1 (Yes)	xsd:string
bmir-radx:nih_chronic_kidney_disease_98	rdfs:label	nih_chronic_kidney_disease Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_ibs_1	rdfs:label	nih_ibs Value, 1 (Yes)	xsd:string
bmir-radx:nih_other_symp_value	rdfs:label	nih_other_symp value	xsd:string
obo:NBO_0045000	rdfs:label	tobacco consumption	xsd:string
bmir-radx:nih_race_97	rdfs:label	nih_race Value, 97 (Some other race)	xsd:string
bmir-radx:nih_neurological_condition	rdfs:label	nih_neurological_condition Data Element	xsd:string
bmir-radx:nih_other_symp_1	rdfs:label	nih_other_symp Value, 1 (Yes)	xsd:string
evs:C100104	rdfs:label	Sign or Symptom	xsd:string
obo:PATO_0001708	rdfs:label	1-D extent	xsd:string
bmir-radx:nih_health_status_99	rdfs:label	nih_health_status Value, 99 (Prefer not to state)	xsd:string
obo:MONDO_0004975	rdfs:label	Alzheimer disease	xsd:string
obo:MONDO_0024643	rdfs:label	myocardial disorder	xsd:string
obo:MONDO_0020023	rdfs:label	respiratory or mediastinal malformation	xsd:string
bmir-radx:nih_sleep_apnea_97	rdfs:label	nih_sleep_apnea Value, 97 (Other)	xsd:string
evs:C25621	rdfs:label	Postal Code	xsd:string
obo:MONDO_0020001	rdfs:label	respiratory or thoracic malformation	xsd:string
evs:C25720	rdfs:label	Zip Code	xsd:string
bmir-radx:nih_autoimm_value	rdfs:label	nih_autoimm value	xsd:string
bmir-radx:nih_other_chronic_cond	rdfs:label	nih_other_chronic_cond Data Element	xsd:string
evs:C173045	rdfs:label	Ability Question	xsd:string
bmir-radx:nih_iv_drug_use_value	rdfs:label	nih_iv_drug_use value	xsd:string
evs:C130200	rdfs:label	Solid Organ Transplant Recipient	xsd:string
evs:C171087	rdfs:label	Person/Individual Attribute	xsd:string
bmir-radx:nih_iv_drug_use_1	rdfs:label	nih_iv_drug_use Value, 1 (Yes)	xsd:string
bmir-radx:nih_chronic_lung_disease_value	rdfs:label	nih_chronic_lung_disease value	xsd:string
bmir-radx:nih_autoimm_1	rdfs:label	nih_autoimm Value, 1 (Yes)	xsd:string
bmir-radx:nih_tobacco_99	rdfs:label	nih_tobacco Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_anxiety	rdfs:label	nih_anxiety Data Element	xsd:string
bmir-radx:nih_fever_chills	rdfs:label	nih_fever_chills Data Element	xsd:string
bmir-radx:nih_chronic_lung_disease_1	rdfs:label	nih_chronic_lung_disease Value, 1 (Yes)	xsd:string
bmir-radx:nih_insurance_value	rdfs:label	nih_insurance value	xsd:string
bmir-radx:nih_nausea_vomiting_diarrhea_98	rdfs:label	nih_nausea_vomiting_diarrhea Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_wheezing_0	rdfs:label	nih_wheezing Value, 0 (No)	xsd:string
bmir-radx:nih_neuro_shakes_97	rdfs:label	nih_neuro_shakes Value, 97 (Other)	xsd:string
bmir-radx:nih_insurance_1	rdfs:label	nih_insurance Value, 1 (Private)	xsd:string
bmir-radx:nih_errand_98	rdfs:label	nih_errand Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_vape_freq_3	rdfs:label	nih_vape_freq Value, 3 (Every Day)	xsd:string
obo:MONDO_0005546	rdfs:label	fibromyalgia	xsd:string
bmir-radx:nih_diff_breath_0	rdfs:label	nih_diff_breath Value, 0 (No)	xsd:string
bmir-radx:nih_conjunctivitis_99	rdfs:label	nih_conjunctivitis Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_hiv_98	rdfs:label	nih_hiv Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_blind_98	rdfs:label	nih_blind Value, 98 (Don’t know)	xsd:string
obo:NBO_0000130	rdfs:label	liquid consumption	xsd:string
obo:MONDO_0002356	rdfs:label	pancreas disorder	xsd:string
bmir-radx:nih_stroke_0	rdfs:label	nih_stroke Value, 0 (No)	xsd:string
bmir-radx:nih_chronic_kidney_disease_97	rdfs:label	nih_chronic_kidney_disease Value, 97 (Other)	xsd:string
bmir-radx:nih_ibs_0	rdfs:label	nih_ibs Value, 0 (No)	xsd:string
bmir-radx:nih_rls_value	rdfs:label	nih_rls value	xsd:string
obo:MONDO_0011057	rdfs:label	cerebrovascular disorder	xsd:string
bmir-radx:nih_other_symp_0	rdfs:label	nih_other_symp Value, 0 (No)	xsd:string
bmir-radx:nih_health_status_98	rdfs:label	nih_health_status Value, 98 (Don't know)	xsd:string
evs:C3303	rdfs:label	Pain	xsd:string
evs:C17953	rdfs:label	Education Level	xsd:string
evs:C4876	rdfs:label	Symptom	xsd:string
bmir-radx:nih_alcohol_frequency	rdfs:label	nih_alcohol_frequency Data Element	xsd:string
obo:MONDO_0021166	rdfs:label	inflammatory disease	xsd:string
bmir-radx:nih_rls_1	rdfs:label	nih_rls Value, 1 (Yes)	xsd:string
evs:C47796	rdfs:label	Cholinergic Agonist	xsd:string
evs:C221	rdfs:label	Alkaloid	xsd:string
obo:MONDO_0015930	rdfs:label	respiratory malformation	xsd:string
evs:C35553	rdfs:label	Abnormal Blood Chemistry and Hematology Test Result	xsd:string
bmir-radx:nih_ibd	rdfs:label	nih_ibd Data Element	xsd:string
bmir-radx:nih_copd_plus_value	rdfs:label	nih_copd_plus value	xsd:string
evs:C26940	rdfs:label	Chronic Pain	xsd:string
evs:C2962	rdfs:label	Seizure	xsd:string
bmir-radx:nih_pcos_value	rdfs:label	nih_pcos value	xsd:string
bmir-radx:nih_abdom_pain_99	rdfs:label	nih_abdom_pain Value, 99 (Prefer not to answer)	xsd:string
bmir-radx:nih_iv_drug_use_0	rdfs:label	nih_iv_drug_use Value, 0 (No)	xsd:string
evs:C68751	rdfs:label	Smoker	xsd:string
bmir-radx:nih_autoimm_0	rdfs:label	nih_autoimm Value, 0 (No)	xsd:string
bmir-radx:nih_tobacco_98	rdfs:label	nih_tobacco Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_copd_plus_1	rdfs:label	nih_copd_plus Value, 1 (Yes)	xsd:string
bmir-radx:nih_chronic_lung_disease_0	rdfs:label	nih_chronic_lung_disease Value, 0 (No)	xsd:string
bmir-radx:nih_premature_birth	rdfs:label	nih_premature_birth Data Element	xsd:string
bmir-radx:nih_pcos_1	rdfs:label	nih_pcos Value, 1 (Yes)	xsd:string
bmir-radx:nih_nausea_vomiting_diarrhea_97	rdfs:label	nih_nausea_vomiting_diarrhea Value, 97 (Other)	xsd:string
bmir-radx:nih_othermh	rdfs:label	nih_othermh Data Element	xsd:string
bmir-radx:nih_insurance_0	rdfs:label	nih_insurance Value, 0 (None)	xsd:string
bmir-radx:nih_errand_97	rdfs:label	nih_errand Value, 97 (Other)	xsd:string
bmir-radx:nih_cough	rdfs:label	nih_cough Data Element	xsd:string
bmir-radx:nih_vape_freq_2	rdfs:label	nih_vape_freq Value, 2 (Some Days)	xsd:string
obo:MONDO_0004335	rdfs:label	digestive system disorder	xsd:string
obo:MONDO_0002267	rdfs:label	obstructive lung disease	xsd:string
obo:MONDO_0002025	rdfs:label	psychiatric disorder	xsd:string
bmir-radx:nih_conjunctivitis_98	rdfs:label	nih_conjunctivitis Value, 98 (Don’t know)	xsd:string
bmir-radx:nih_hiv_97	rdfs:label	nih_hiv Value, 97 (Other)	xsd:string
bmir-radx:nih_blind_97	rdfs:label	nih_blind Value, 97 (Other)	xsd:string
evs:C16203	rdfs:label	Clinical or Research Activity	xsd:string
bmir-radx:nih_vaping_yn_99	rdfs:label	nih_vaping_yn Value, 99 (Prefer not to answer)	xsd:string
evs:C36278	rdfs:label	Finding by Site or System	xsd:string
obo:MONDO_0004995	rdfs:label	cardiovascular disorder	xsd:string
bmir-radx:nih_immunodeficiency_1	rdfs:label	nih_immunodeficiency Value, 1 (Yes)	xsd:string
bmir-radx:nih_immuno_compromised_solid_organ_1	rdfs:label	nih_immuno_compromised_solid_organ Value, 1 (Yes)	xsd:string
obo:MONDO_0045024	rdfs:label	cancer or benign tumor	xsd:string
obo:MONDO_0022034	rdfs:label	lentivirus infection	xsd:string
obo:MONDO_0024575	rdfs:label	pregnancy disorder	xsd:string
bmir-radx:nih_cardiovascular_disease_1	rdfs:label	nih_cardiovascular_disease Value, 1 (Yes)	xsd:string
obo:MONDO_0000001	rdfs:label	disease	xsd:string
bmir-radx:nih_health_status_4	rdfs:label	nih_health_status Value, 4 (Poor)	xsd:string
obo:MONDO_0011122	rdfs:label	obesity disorder	xsd:string
bmir-radx:nih_rls_0	rdfs:label	nih_rls Value, 0 (No)	xsd:string
bmir-radx:nih_substance_use_value	rdfs:label	nih_substance_use value	xsd:string
bmir-radx:nih_race_6	rdfs:label	nih_race Value, 6 (Two or more races)	xsd:string
obo:MONDO_0000771	rdfs:label	allergic respiratory disease	xsd:string
bmir-radx:nih_vape_freq_99	rdfs:label	nih_vape_freq Value, 99 (Prefer not to answer)	xsd:string
obo:MONDO_0021682	rdfs:label	viral sexually transmitted disease	xsd:string
bmir-radx:nih_abdom_pain_98	rdfs:label	nih_abdom_pain Value, 98 (Don’t know)	xsd:string
obo:MONDO_0044991	rdfs:label	upper digestive tract disorder	xsd:string
bmir-radx:nih_tobacco_97	rdfs:label	nih_tobacco Value, 97 (Other)	xsd:string
bmir-radx:nih_copd_plus_0	rdfs:label	nih_copd_plus Value, 0 (No)	xsd:string
obo:MONDO_0005039	rdfs:label	reproductive system disorder	xsd:string
bmir-radx:nih_smoking_yn	rdfs:label	nih_smoking_yn Data Element	xsd:string
bmir-radx:nih_substance_use_1	rdfs:label	nih_substance_use Value, 1 (Yes)	xsd:string
bmir-radx:nih_pcos_0	rdfs:label	nih_pcos Value, 0 (No)	xsd:string
bmir-radx:nih_height_category_3	rdfs:label	nih_height_category Value, 3 (6' and over)	xsd:string
bmir-radx:nih_immunodeficiency_value	rdfs:label	nih_immunodeficiency value	xsd:string
bmir-radx:nih_dress_bathe	rdfs:label	nih_dress_bathe Data Element	xsd:string
obo:MONDO_0005578	rdfs:label	arthritic joint disease	xsd:string
bmir-radx:nih_cardiovascular_disease_value	rdfs:label	nih_cardiovascular_disease value	xsd:string
evs:C17468	rdfs:label	Socioeconomic Factors	xsd:string
obo:SYMP_0000719	rdfs:label	memory impairment	xsd:string
bmir-radx:nih_immuno_compromised_solid_organ_value	rdfs:label	nih_immuno_compromised_solid_organ value	xsd:string
